,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.10847345678057477,0.1842298883098143,0.025483417512745663,0.026200629795643988
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.06734124270019995,0.04787338251747011,0.0012092743548511803,0.011033190900120369
contact_proportion,0.023453372309748005,0.017377215506794146,0.01417416875305564,0.00735476309528574
above_proportion,0.06359011559651608,0.1303257952756571,0.011658895708024352,0.023590113240670667
below_proportion,0.04033558345116002,0.031650969632314604,0.010867784398491818,0.019157657227087364
bbox_overlap_proportion,0.06914681483237856,0.0344381673881399,0.012258566120271302,0.004599488702145755
horizontal_distance,0.04078044021212616,0.0334360123505129,0.001737275353506263,0.009980093735610557
f_covers_g,0.06661310225559335,0.012430813536871234,0.0048080209530630335,0.0002498608964354055
g_covers_f,0.10109835335198428,0.018769265898432547,0.020364109667618403,0.0008025137221819027
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.04057341884101574,0.0022491536294293804,0.013194665194329302,0.0026158838729325924
