,under-canon,under-near1,under-near2,under-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.020986152512963124,0.01354216837975783,0.022827691358534928,0.06566342100161834
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.00540744270285677,0.06601689627346369,0.0072498745040219395,0.12030513162761511
contact_proportion,0.0009680088990502277,0.08494233075030302,0.0128911077962687,0.039253786001899146
above_proportion,0.07019026713540362,0.06570687159844486,0.06925552889920013,0.12331460252461397
below_proportion,0.04143214220238388,0.04714285215178428,0.11711243371069673,0.08994917517868745
bbox_overlap_proportion,0.04270155197783467,0.16195541094153493,0.05484481193782349,0.0025013339925657376
horizontal_distance,0.003665477970961698,0.06786078878524077,0.012184416226551168,0.06842500811525809
f_covers_g,0.05448601044262107,0.040453220063993954,0.09325131818242603,0.1100337801290152
g_covers_f,0.08975883517434974,0.047128590131222246,0.06754438527009124,0.18565120057681778
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.0012009877667565655,0.031110078518683963,0.005922538412123976,0.05097830959137799
