,above-canon,above-near1,above-near2,above-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.02395354481461219,0.016770412903931723,0.1657924307348259,0.0009905830612524707
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.0274009051028355,0.0008593761657610935,0.02217985829496666,0.003326865074747797
contact_proportion,0.0005454099667289124,0.000506386751015238,0.004182706635406347,0.006425815261625981
above_proportion,0.12130374448906266,0.018251410853130902,0.29878706287215634,0.01253229205574707
below_proportion,0.025285677641471594,0.0016958415998807352,0.047663790800880304,0.011979259702498394
bbox_overlap_proportion,0.006665682329250517,0.0009364275199156781,0.02183765894785189,0.010028845388060674
horizontal_distance,0.02581310788376534,0.0021568759007309733,0.006074430138113825,0.006832604933825166
f_covers_g,0.012822017975271919,0.001509356724005585,0.00573764975046811,3.7705720645437116e-05
g_covers_f,0.023323589685294188,0.002329052229734033,0.012454692651767397,0.016915538678471804
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.030302849202224806,0.0025216814398568194,0.02178850702769136,0.014864447729787456
