,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.19681142353693215,0.2503369483396184,0.05056185654173787,0.17630804796462077,0.09431867096355101,0.16640899792329092,0.05610672727160202,0.10480265088711906
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.07781644266805471,0.07895887060508777,0.030265770016528738,0.036987038102660755,0.016926560355123015,0.009440011160887484,0.0004570918700903034,0.02091125655162674
contact_proportion,0.07391268492327427,0.022365992348583337,0.031661109070393545,0.09379478098667977,0.008476674034352694,0.017671114560054175,0.05877055249846928,0.000725828719813487
above_proportion,0.025953482937056866,0.05842742364744317,0.015038386233148394,0.029098720574553538,0.021015507282623018,0.015113938938782573,0.028171673828663302,0.08042564117091107
below_proportion,0.02831641227123481,0.03900020918173603,0.014746109707286724,0.010092622112160578,0.0008509636918700488,0.020544660096993028,0.0250949674496704,0.06241662040115762
bbox_overlap_proportion,0.06985981856920101,0.056858351993749064,0.030690218922330363,0.03529471113881869,0.025775310141445167,0.030157447225867523,0.005897769478525472,0.015044810556995514
horizontal_distance,0.054842485304745996,0.051670336288185424,0.020337774715394615,0.032345450444731944,0.015552567730129143,0.011678532712707428,0.00023794557372329157,0.03699452377802854
f_covers_g,0.07049228012076242,0.04338864196449684,0.027972104201061256,0.04180244881578963,0.000684282622845366,0.011976950248306837,0.0021863713342978016,0.0028914866464154233
g_covers_f,0.07695344441026625,0.05210311069167099,0.04050644328418743,0.023287449138801472,0.03430520871324233,0.013379834787893174,0.001147476448720413,0.003988620526706002
figure_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_control,0.08840317027520625,0.049511316334057275,0.023725501479532122,0.0934670582544476,0.004442708063232619,0.011686390914727646,0.03900970570231292,0.03438581164117621
