,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.017025382914767084,0.017025382914767084,0.017025382914767084,0.004825356465259844,0.017025382914767084,0.017025382914767084,0.03725054224385296,0.017025382914767084
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.02254894753060862,0.02254894753060862,0.02254894753060862,0.01640015938885964,0.02254894753060862,0.02254894753060862,0.04361640693170497,0.02254894753060862
contact_proportion,0.018565280329068692,0.018565280329068692,0.018565280329068692,0.02202522583902394,0.018565280329068692,0.018565280329068692,0.009492901928788239,0.018565280329068692
above_proportion,0.20411332437033816,0.20411332437033816,0.20411332437033816,0.1986100971075452,0.20411332437033816,0.20411332437033816,0.0852782094385239,0.20411332437033816
below_proportion,0.11837980159319617,0.11837980159319617,0.11837980159319617,0.10948642059745985,0.11837980159319617,0.11837980159319617,0.06437499171016839,0.11837980159319617
bbox_overlap_proportion,0.030255996734756423,0.030255996734756423,0.030255996734756423,0.031745048661048665,0.030255996734756423,0.030255996734756423,0.017984730338610828,0.030255996734756423
horizontal_distance,0.06270921391862283,0.06270921391862283,0.06270921391862283,0.05164851492728575,0.06270921391862283,0.06270921391862283,0.025462188150707603,0.06270921391862283
f_covers_g,0.06410214741867468,0.06410214741867468,0.06410214741867468,0.03005057335569583,0.06410214741867468,0.06410214741867468,0.0481509037680426,0.06410214741867468
g_covers_f,0.08117190369146268,0.08117190369146268,0.08117190369146268,0.045209827062759604,0.08117190369146268,0.08117190369146268,0.052268911427554354,0.08117190369146268
figure_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_control,0.08493171307557393,0.08493171307557393,0.08493171307557393,0.14875581039495264,0.08493171307557393,0.08493171307557393,0.06630882564565597,0.08493171307557393
