,inside-canon,inside-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.028170882774959636,0.0300313192054244
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.015431781927252808,0.028469268512769208
contact_proportion,0.01589316768346676,0.008419703606721635
above_proportion,0.005230053629657059,0.02813309816413022
below_proportion,0.002826294009835868,0.010234621047921439
bbox_overlap_proportion,0.020820711944606732,0.04382507686745443
horizontal_distance,0.0019402581252315255,0.014517562878264
f_covers_g,0.024628575682814707,0.04127067280287029
g_covers_f,0.013474380041971785,0.032973138070669455
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.032467872598203266,0.039069310983260115
