,in-canon,in-near1,in-near2,in-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.009650030522311798,0.009650030522311798,0.015906742507343568,0.004304916821770016
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.04750373042493765,0.04750373042493765,0.03357864226535639,0.018887306860884235
contact_proportion,0.02217646387844773,0.02217646387844773,0.02144153251355358,0.004345263390786182
above_proportion,0.032079373228480736,0.032079373228480736,0.051961635638994995,0.019273219890200317
below_proportion,0.0018673103094426866,0.0018673103094426866,0.014318833351419973,0.013468093165448171
bbox_overlap_proportion,0.0429958877421556,0.0429958877421556,0.04157178702247713,0.005658732552808088
horizontal_distance,0.026376886243490976,0.026376886243490976,0.01398739250914291,0.014348079562979019
f_covers_g,0.06446986682679179,0.06446986682679179,0.0590279674595537,0.012177044852123443
g_covers_f,0.015740184438605295,0.015740184438605295,0.029607267790923583,0.015005656121161485
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.05875002493297712,0.05875002493297712,0.0541720059168515,0.009978287795356337
