,below-canon,below-near1,below-near2,below-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.01098949078349695,0.017222681602764803,0.008407084603506115,0.0038123295439344822
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.04351153267903842,0.0057781264662875136,0.03176235549816707,0.09985799324457681
contact_proportion,0.0022112291302375936,0.005157285843443448,0.007063823743697732,0.05499237451159978
above_proportion,0.06415720951756397,0.09321272063733885,0.01707004703533188,0.05202836429070006
below_proportion,0.15650307090551785,0.09211694594019186,0.2799783160460774,0.06323960172444006
bbox_overlap_proportion,0.03580319519542639,0.038205345336388016,0.018607855577336747,0.0640741972373775
horizontal_distance,0.01640889144737458,0.0184790229027862,0.011031194763922527,0.0951599934335116
f_covers_g,0.053718303701491346,0.07966532572568326,0.044923189704821814,0.017100671478652265
g_covers_f,0.08028009371144258,0.09869256763017831,0.028788168855268748,0.06261572925894691
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.013209364884201533,0.006586475715852466,0.014232264352191992,0.06103289357893463
