,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
ground_lightsource,-0.17511592186524272,-0.18537602591408311,0.155914478209227,2.630818236488765,0.155914478209227,0.039118240590666514,0.155914478209227,-0.18440787043995746
ground_container,2.032014353520399,2.0064629311036217,-0.19338783328886433,-0.42969613683006025,-0.19338783328886433,-0.08631351038059741,-0.19338783328886433,-0.460502297073635
support,0.6277361293305741,1.0163701257717523,0.31441687894933074,1.464621494564053,0.31441687894933074,-0.3181536517536624,0.31441687894933074,-0.841138734547145
ground_verticality,-0.5111097830327126,-0.5356554827958344,0.2808288536531786,3.831230857971844,0.2808288536531786,-0.4338103331155358,0.2808288536531786,2.3851033426084394
size_ratio,-0.21549635285957383,-0.21597268280401777,-0.20118632178438187,-0.22950312462363315,-0.20118632178438187,-0.21534454209862552,-0.20118632178438187,-0.21253475082420198
shortest_distance,-0.7236438654830686,-0.6705038858942125,0.03437727604986957,-1.4437959122581816,0.03437727604986957,-0.6213554705950819,0.03437727604986957,-0.592984044532807
contact_proportion,3.7033676833496334,0.09055366633956552,0.30746491811869237,10.488881767854613,0.30746491811869237,-0.44556217936627956,0.30746491811869237,-0.03247939442725378
above_proportion,-0.7788718559966734,-0.8504733619817418,0.20212344620247433,-2.369397936029785,0.20212344620247433,-0.9438053937987982,0.20212344620247433,-0.9850945978225066
below_proportion,-0.8485402458663531,-0.7325862144269923,-0.2287123142328498,-1.2678540515416397,-0.2287123142328498,-0.7516807347895,-0.2287123142328498,-0.2904821014511444
bbox_overlap_proportion,2.638874620423432,1.8619635023768075,0.359841478918413,6.864707497800444,0.359841478918413,0.5035687175609029,0.359841478918413,0.6052641683597355
horizontal_distance,-1.0402743935482235,-1.0211787317924317,0.1513140224799108,-1.823837603792009,0.1513140224799108,0.5609702744533881,0.1513140224799108,-0.10592579308701547
f_covers_g,-0.4640882422431549,-0.3888178571122912,-0.1721684583986622,-1.4351836725877678,-0.1721684583986622,-0.7764043003039602,-0.1721684583986622,-0.9051117036581608
g_covers_f,0.6986276008805878,0.26575132067027196,0.45923059752292983,1.3902704841817068,0.45923059752292983,-0.5657738878692022,0.45923059752292983,-0.6237905929416473
figure_lightsource,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032
figure_container,-0.7231120942972438,-0.7473465921173967,0.058785971338444,-1.462786000351679,0.058785971338444,1.124644495157284,0.058785971338444,1.675667383873558
location_control,2.0053824406411973,1.3263484780592463,0.23933088319869944,2.191730825842397,0.23933088319869944,1.1055316362932595,0.23933088319869944,-0.896592587842712
