,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,-0.17450175298245513,-0.18282736332941624,9.051405046682799,0.2271102815527127
ground_container,-0.6976622851068391,-0.3034173859340647,0.9306364491391512,1.819642111074714
support,1.8584203339209167,1.969507394710732,3.3249533677615433,1.7237765273484085
ground_verticality,-0.5286001845956986,0.04277423204517217,1.2876523241428057,-0.4072734627124407
size_ratio,-0.21544637713796505,-0.2133985219548364,-0.2405556822653634,-0.21734165253044507
shortest_distance,-0.7153619457116759,-0.6096767507198986,-2.0489013820191007,-0.6987801741139502
contact_proportion,2.7669969326918222,0.3054421158662014,7.955493092321765,0.08946087833070884
above_proportion,1.5867912396306831,1.6475929024162714,-0.12576137369952822,0.9376690500905912
below_proportion,-0.8610707774519001,-0.8788155835471825,-2.192510068749902,-1.006043851378029
bbox_overlap_proportion,-0.3627006630363099,-0.5467097930172359,5.816830578549184,-0.001929767340593025
horizontal_distance,-0.37996113466147424,-0.21762873657335607,-3.106391741290791,-0.9379794471875142
f_covers_g,-0.6973551675586016,-0.23058781591712668,-0.7571059470013926,0.8101050763559091
g_covers_f,1.759842712564782,1.087032643779076,3.341045947447691,0.4285175620817109
figure_lightsource,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032
figure_container,-0.779259342013638,-0.24521171496539101,-2.2486138930013015,-1.036295129651072
location_control,1.0808898731011598,1.2055129294106792,2.861887730201191,1.608525484359684
