,scene,figure,ground,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
0,compsva12,box,book,0.48844397383629384,0.22102314233779907,0.19969450397246424,0.07647112861963813
1,compsva12,box,table,0.46264244985761754,0.16604000329971313,0.07832046181212887,0.07695794277614965
2,compsva12,box,pear,0.5907415324777046,0.3517535328865051,0.07861455359573948,0.07745758813166789
3,compsva12,book,box,0.2882852668981392,0.044403076171875,0.007358636232926923,0.05490406550735071
4,compsva12,book,table,0.4240395297765678,0.000730559229850769,0.07495572860990407,0.06954340977551618
5,compsva12,book,pear,0.2986120306507954,0.04861055314540863,0.006344707938532214,0.0418086960597708
6,compsva12,table,box,0.2767222809897576,0.1101895123720169,0.006628205139123981,0.0661745364199819
7,compsva12,table,book,0.2851465648250734,0.05848643183708191,0.006560379457481655,0.040884068790807714
8,compsva12,table,pear,0.2753637007480007,0.12463110685348512,0.006638620563004307,0.04042745132104588
9,compsva12,pear,box,0.2944890860322506,-0.02239990234375,0.006998936691462605,0.056931441025356334
10,compsva12,pear,book,0.43948894013543516,0.30309879779815674,0.07468781775067597,0.07208489316839661
11,compsva12,pear,table,0.46798632110728794,0.15328145027160645,0.07901384151402108,0.0787160758434647
12,compsva13,balloon,book,0.6295791552738179,0.2284074425697327,0.09378111603431263,0.09068494318298832
13,compsva13,balloon,table,0.674060842999002,0.4858212471008301,0.0962171063031406,0.1035425820781535
14,compsva13,balloon,pear,0.6332013605221479,0.23107898235321045,0.09456068254325213,0.09072607336008597
15,compsva13,book,balloon,0.27243191954144147,0.01625417172908783,0.00609792400914678,0.04071580100667335
16,compsva13,book,table,0.43184589570664017,0.012756556272506714,0.07719484919666482,0.07143164390177488
17,compsva13,book,pear,0.27733468318350996,0.1837877333164215,0.006643467760210332,0.040675874776251834
18,compsva13,table,balloon,0.2755614299610884,0.011690810322761536,0.006562457862738534,0.040758766655788654
19,compsva13,table,book,0.2851532797749495,0.0581342875957489,0.006560243728132386,0.040884604943796345
20,compsva13,table,pear,0.2752375500744773,0.12406077980995175,0.006631161845902681,0.04038438304231335
21,compsva13,pear,balloon,0.27264487778551344,0.017023414373397827,0.006099906870541682,0.04072527739357303
22,compsva13,pear,book,0.4771403678907134,0.2306773662567139,0.07801634063323065,0.07909619847661145
23,compsva13,pear,table,0.46393096033819425,0.11968794465065002,0.08036895399088385,0.07832717413039929
24,compsva14,box,book,0.2859738305757689,-0.08394257724285126,0.006508152906008997,0.04238591197530992
25,compsva14,box,table,0.2360648535318421,0.060035496950149536,0.007374701043319753,0.040589558010275834
26,compsva14,book,box,0.47948439409368127,-0.018543213605880737,0.07700332690067885,0.07605386233860649
27,compsva14,book,table,0.2355841973888587,-0.0016688108444213867,0.007444120450672384,0.040775685733039864
28,compsva14,table,box,0.5654007743483833,0.8246363401412964,0.2933040528845222,0.15954734118587646
29,compsva14,table,book,0.5599453274652123,0.6983215808868408,0.298835707328456,0.07712742691483325
