,scene,figure,ground,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
0,compsva12,box,book,0.3037038640075949,-0.003333709668368101,0.13207189828024554,0.048473523463208386
1,compsva12,box,table,0.29807118119744436,-0.061347413808107376,0.10680883508219896,0.1067082531434068
2,compsva12,box,pear,0.3617649217761394,0.1410682052373886,0.011029171283681437,0.07633917290618078
3,compsva12,book,box,0.35490108062136577,0.0016745920293033125,0.14301106603844072,0.13942388779519402
4,compsva12,book,table,0.31420661448681697,-0.02514671161770821,0.18182219893305848,0.11246937143799077
5,compsva12,book,pear,0.4301175791497597,0.09529252350330353,0.17381134736198184,0.06343024100890034
6,compsva12,table,box,0.3072496965122709,-0.07328835129737854,0.011561038968404965,0.0639144998417412
7,compsva12,table,book,0.34015486353756796,-0.003557240124791861,0.01145176611334571,0.06572928143993059
8,compsva12,table,pear,0.30540957346171305,-0.12640032172203064,0.011078913394992895,0.06533145943931144
9,compsva12,pear,box,0.7438437567968308,0.225872203707695,0.010963128544356021,0.2844299962483252
10,compsva12,pear,book,0.28856349194304104,-0.2090589255094528,0.09236799929818712,0.10132468525582496
11,compsva12,pear,table,0.2999711996968107,0.0620642751455307,0.10288961333015492,0.10733650769465544
12,compsva13,balloon,book,0.28232564356211515,0.007603954989463091,0.011311046996599641,0.06898963366556013
13,compsva13,balloon,table,0.267270352067769,0.15161198377609253,0.11835821115851985,0.09232576578438327
14,compsva13,balloon,pear,0.2843349192476021,0.007603954989463091,0.011326099376699041,0.07026475289938053
15,compsva13,book,balloon,0.3372403359067573,0.007603954989463091,0.012008526821541434,0.1268310217001388
16,compsva13,book,table,0.300541491921347,-0.02281017042696476,0.1739145912666777,0.10717034785586403
17,compsva13,book,pear,0.31090512317668856,0.12860698997974396,0.13055662929495326,0.06439747494435691
18,compsva13,table,balloon,0.30083602032328205,-0.13407087326049805,0.12250908733431935,0.06073893067029496
19,compsva13,table,book,0.34010638839506113,-0.008130216971039772,0.01145281909014595,0.06572522594950818
20,compsva13,table,pear,0.30503163185709614,-0.17564083635807035,0.011301104722296007,0.06554159922338205
21,compsva13,pear,balloon,0.3388479089021298,0.007603954989463091,0.011960526152890723,0.1279203641518964
22,compsva13,pear,book,0.2954224674899806,0.16401764750480652,0.11490316353903353,0.10563968921668213
23,compsva13,pear,table,0.2956590239465088,-0.05259881541132927,0.10583047449854686,0.10590890515564423
24,compsva14,box,book,0.3242792029686302,0.007603954989463091,0.012145393674157193,0.057654740496982576
25,compsva14,box,table,0.3563947336550699,-0.5392330884933472,0.013273953421576078,0.13097945201290978
26,compsva14,book,box,0.30275350884993835,-0.00975007377564907,0.10448999220083403,0.1067058331676304
27,compsva14,book,table,0.40284032683192317,-0.04365617409348488,0.011895278885227758,0.15272743582841106
28,compsva14,table,box,0.2787599759895441,0.007603954989463091,0.012419744845570443,0.06555283569085155
29,compsva14,table,book,0.3024439017760734,-0.04270413145422936,0.011123637319226548,0.06721468916241495
30,compsva15,balloon,book,0.28792532475385135,-0.06815101951360703,0.12846664238420488,0.06447358100323088
31,compsva15,balloon,table,0.2660260677728167,0.007603954989463091,0.010637179360654395,0.09184710852134137
32,compsva15,balloon,pear,0.28823098852034834,-0.37358009815216064,0.1284704031369558,0.07286311095116674
