,scene,figure,ground,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
0,compsva12,box,book,0.2648726081702715,-0.05400658398866653,0.037251624847730085,0.12039801733655447
1,compsva12,box,table,0.24958118508073945,0.02463164366781712,0.023839574791626687,0.12316076336171596
2,compsva12,box,pear,0.32030649561559743,-0.13859452307224274,0.0563842477895412,0.12786101522746365
3,compsva12,book,box,0.3594867822530477,0.3712261319160461,0.3444115011568834,0.09007244306718162
4,compsva12,book,table,0.20669123313579474,0.07598291337490083,0.022209873666802847,0.03166137428136941
5,compsva12,book,pear,0.46280632782161213,0.8594079613685608,0.08622576793137404,0.12223596096141595
6,compsva12,table,box,0.32123065610385637,0.7076382040977478,0.20184854988751003,0.15818564121745066
7,compsva12,table,book,0.3369651615285583,0.734660267829895,0.07368163900823302,0.15063568666109142
8,compsva12,table,pear,0.30651829112752743,0.7343021631240845,0.20225342267283086,0.15521281818287794
9,compsva12,pear,box,0.5338995902670794,0.6618943214416504,0.071918946227179,0.05530564103604184
10,compsva12,pear,book,0.24733590242687323,-0.09915685653686523,0.03224866034886235,0.03571490138682503
11,compsva12,pear,table,0.2521442049350236,0.01206863671541214,0.02397827088519275,0.03055728140365075
12,compsva13,balloon,book,0.25722779780334964,-0.10129359364509584,0.03700311414820435,0.041310180202967214
13,compsva13,balloon,table,0.28652687259764964,-0.12404799461364745,0.023493212896342486,0.037696741587237965
14,compsva13,balloon,pear,0.26174229808646804,-0.12054240703582765,0.03798229047909058,0.041590531558072914
15,compsva13,book,balloon,0.2969195489989694,0.13541164994239807,0.14194302675952422,0.07079309730334549
16,compsva13,book,table,0.20295430760411876,0.04532935842871666,0.02147669538017256,0.031097968684761838
17,compsva13,book,pear,0.30852090706615404,0.8207544088363647,0.1926564826137452,0.151108402026481
18,compsva13,table,balloon,0.3036221426119906,0.7916713356971741,0.2049281385179721,0.15945567289458382
19,compsva13,table,book,0.33702372162143174,0.734808623790741,0.07368555755578793,0.15071758785955994
20,compsva13,table,pear,0.307228019340895,0.7042046785354614,0.2041105464563743,0.15509067992894346
21,compsva13,pear,balloon,0.29892766825704825,0.13277208805084229,0.14181469274771236,0.07107620264163639
22,compsva13,pear,book,0.2565570419067635,0.04126215726137161,0.024399429312918625,0.03171926602215819
23,compsva13,pear,table,0.24283254575199337,-0.02598094940185547,0.0236608029466826,0.030415097075806186
24,compsva14,box,book,0.37076127985694746,0.5919957756996155,0.1716111690221044,0.12289558027771035
25,compsva14,box,table,0.36687563243792315,1.0848678350448608,0.1190733060896296,0.2797808771296477
26,compsva14,book,box,0.25037083137874455,0.04346257448196411,0.03404464819197347,0.0411901915797895
27,compsva14,book,table,0.38772566182384,1.006825566291809,0.1655217572798888,0.039051343057982406
28,compsva14,table,box,0.2774022788525886,0.03910587728023529,0.04644636881536986,0.0657629557848414
29,compsva14,table,book,0.3111627060451656,0.03910587728023529,0.05255998936812117,0.07926801024178341
30,compsva15,balloon,book,0.30580996030163454,0.028304507955908775,0.044944095722187036,0.05363816740605051
31,compsva15,balloon,table,0.2906914911724837,-0.0853123664855957,0.02359250715383329,0.03759318627552599
32,compsva15,balloon,pear,0.26726881113975703,-0.2445051223039627,0.039673092177380034,0.042091744150715614
33,compsva15,book,balloon,0.3696068572025735,0.3715352416038513,0.15135604801367045,0.09210952073733553
34,compsva15,book,table,0.20295324479972254,0.04532565176486969,0.02147665708330716,0.031097916742913
35,compsva15,book,pear,0.3085208785504121,0.8207607865333557,0.192656494748975,0.15110841149585386
36,compsva15,table,balloon,0.3023656900425059,0.7492325305938721,0.20941098688518048,0.15248517975781115
37,compsva15,table,book,0.3370239688100685,0.7347940802574158,0.07368564341345173,0.15071752009272274
38,compsva15,table,pear,0.3072280033734518,0.7042083144187927,0.20411055452572402,0.155090685753586
39,compsva15,pear,balloon,0.3071658813703463,0.12549784779548645,0.1402200138688562,0.07252051202869135
40,compsva15,pear,book,0.25646571880030444,0.04016171395778656,0.02439947582277829,0.03171449112095582
41,compsva15,pear,table,0.2410927010503904,-0.029652930796146393,0.02360260398978773,0.030356472623079483
42,compsva23,balloon,box,0.31810915680935214,0.03910587728023529,0.04589362674433891,0.05309728436984397
