,scene,figure,ground,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
0,compsva12,box,book,0.7643742082472078,1.0402430295944214,0.4216026178916189,0.2385288211278433
1,compsva12,box,table,0.8135459376996481,0.6754115223884583,0.4321495145544932,0.30337529229593924
2,compsva12,box,pear,0.2999612853921354,0.1195223107933998,0.17130843621307776,0.10969012018658636
3,compsva12,book,box,0.24648739381267434,1.0313010215759275,0.00837736070481057,0.10389406653235113
4,compsva12,book,table,0.814143849641336,0.7327675819396973,0.6821548522828574,0.3359372078519852
5,compsva12,book,pear,0.2379288901314917,-0.16728152334690094,0.00927092524769864,0.07947417775669273
6,compsva12,table,box,0.23377971700392247,-0.018855348229408264,0.008071754495468465,0.015045622839570531
7,compsva12,table,book,0.2344448590170433,-0.05024351179599762,0.008427008815260938,0.07694770075166432
8,compsva12,table,pear,0.23231279170899058,0.01119983196258545,0.008165812032215834,0.07537161925350817
9,compsva12,pear,box,0.24026033924425788,0.0384993851184845,0.010010299774364042,0.10749715177948756
10,compsva12,pear,book,0.6422777949055161,0.8490176200866699,0.4837780779107715,0.2383627678606529
11,compsva12,pear,table,0.8222109160732578,0.6739674210548401,0.4374433316730227,0.3010295254184565
12,compsva13,balloon,book,0.2765262916057501,0.24469324946403506,0.16139753419125458,0.1038948713703174
13,compsva13,balloon,table,0.3013354049808933,0.04147079586982727,0.17109971084442085,0.12334852220922142
14,compsva13,balloon,pear,0.28010309429551966,0.17208626866340634,0.16348749558933814,0.1042915126231664
15,compsva13,book,balloon,0.2195495775327119,0.04913581907749176,0.007806888238035677,0.07678836047508264
16,compsva13,book,table,0.8278221917631305,0.7786425352096558,0.6948778057658233,0.34433112452016024
17,compsva13,book,pear,0.23437836884854335,0.1202329471707344,0.008307729740579094,0.07579450008681618
18,compsva13,table,balloon,0.2255500474444307,-0.00746886432170868,0.008009041309954619,0.07498806003289668
19,compsva13,table,book,0.23443292771660038,-0.05029906332492829,0.008426413795247152,0.07694536917274826
20,compsva13,table,pear,0.23159049086585312,-0.029153600335121155,0.008117479009747937,0.07528750003366888
21,compsva13,pear,balloon,0.2206964320287831,0.04792611300945282,0.007837365196897508,0.07739236034865891
22,compsva13,pear,book,0.7663121265818491,0.9036738872528076,0.4361354480171236,0.2858845307612872
23,compsva13,pear,table,0.7830067428224061,0.5836519598960876,0.41925045274471656,0.29499360261224383
24,compsva14,box,book,0.2385505069855419,-0.08914737403392793,0.00791372182799438,0.07536560732699135
25,compsva14,box,table,0.16613627827289884,-0.16911111772060394,0.009018554399003679,0.06816948843605015
26,compsva14,book,box,0.7545991055606892,1.1712713241577148,0.4013172066810458,0.3218798751293269
27,compsva14,book,table,0.17173494546188026,0.03134489059448242,0.009790118555888908,0.07148391519395357
28,compsva14,table,box,0.27601697795202945,0.0598749965429306,0.1570822065940984,0.01957436058077954
29,compsva14,table,book,0.28928077550692766,0.3574680089950561,0.16539771826971295,0.1074011705206356
30,compsva15,balloon,book,0.29734172726320013,0.12328026443719865,0.1715538105400604,0.11064709171446734
31,compsva15,balloon,table,0.29912876843272446,0.02419751882553101,0.169987051951303,0.122819143916595
32,compsva15,balloon,pear,0.28838348651872625,-0.10316525399684906,0.1681789714008338,0.10531347119065634
33,compsva15,book,balloon,0.23513968755925063,-0.005079925060272217,0.008059566964855115,0.08541521670547023
34,compsva15,book,table,0.8278215190807046,0.7786243557929993,0.6948736126301619,0.3443307047959311
35,compsva15,book,pear,0.2343783017032161,0.12023375183343887,0.008307729133139811,0.07579447765339026
36,compsva15,table,balloon,0.2219022816681912,-0.0035932809114456172,0.00781379204084588,0.07454410540010534
37,compsva15,table,book,0.23443341817895808,-0.05030389130115509,0.008426418369236598,0.07694553752940053
38,compsva15,table,pear,0.23159045395597305,-0.029153332114219662,0.008117478685810227,0.07528748759968952
39,compsva15,pear,balloon,0.22652197348284236,0.04600460827350617,0.008041118904562845,0.08074276823303546
40,compsva15,pear,book,0.7681787451872818,0.90441232919693,0.4362522369727335,0.286799161332834
41,compsva15,pear,table,0.7789245700813765,0.5751605033874512,0.4190630943520087,0.2930138450564361
42,compsva23,balloon,box,0.3133537607745815,0.4401729106903076,0.17840664573861706,0.02026601818526058
43,compsva23,balloon,book,0.2973000042492703,0.12241137772798535,0.17153536129405195,0.11063599844467427
44,compsva23,balloon,table,0.2991287160184465,0.024196386337280273,0.16998700688448834,0.12281913444347088
45,compsva23,box,balloon,0.2396311106348415,-0.005385741591453552,0.008170153080361928,0.08630023856073649
