,scene,figure,ground,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
0,compsva12,box,book,0.2515762137988258,-0.00823370832949877,0.013295271061332948,0.12433833117361695
1,compsva12,box,table,0.232754469080999,-0.00823370832949877,0.04757135978660517,0.13631105970668375
2,compsva12,box,pear,0.3071359275480553,0.07915857434272766,0.053796899947540985,0.15154997577390786
3,compsva12,book,box,0.4244436686632701,0.8848127126693726,0.7312862200145654,0.11672056917278155
4,compsva12,book,table,0.19675355218718943,-0.01519656181335449,0.039909876948839636,0.04079032118678545
5,compsva12,book,pear,0.514609838763664,0.4426279664039612,0.025293573973850268,0.11594569763112697
6,compsva12,table,box,0.5312626931100032,0.7307233810424805,0.3913940900750598,0.1794908776574664
7,compsva12,table,book,0.552556181224684,0.5811924338340759,0.3312978134195734,0.16279796780278144
8,compsva12,table,pear,0.4972400216791599,0.8161065578460693,0.3907124690900102,0.17874338324115618
9,compsva12,pear,box,0.36359401434727134,0.24845172464847565,0.08979733471891622,0.06264486719564162
10,compsva12,pear,book,0.21085117348022814,0.0237954929471016,0.012227992869539886,0.04283766441533822
11,compsva12,pear,table,0.2345388041579386,-0.08488237857818604,0.04771854163815479,0.04078879729024413
12,compsva13,balloon,book,0.28912531469709274,-0.00823370832949877,0.04688313044568146,0.05205780101131513
13,compsva13,balloon,table,0.25740004295504754,0.2413129508495331,0.0468291087923195,0.04461923981967721
14,compsva13,balloon,pear,0.2889677234774011,-0.00823370832949877,0.04758178441863555,0.05219198653144603
15,compsva13,book,balloon,0.5668719976195525,0.609634280204773,0.4325375525258067,0.13800529944508774
16,compsva13,book,table,0.1939676288385249,-0.016624044626951218,0.039152305214545206,0.040007011378515776
17,compsva13,book,pear,0.471847182475167,1.0159302949905396,0.474090994658086,0.16694905913345098
18,compsva13,table,balloon,0.5156687858038351,1.0366888046264648,0.4334812738420941,0.20052118149497225
19,compsva13,table,book,0.5527931904539124,0.5814204216003418,0.33142665402740223,0.16289966909015693
20,compsva13,table,pear,0.5112392629413228,0.7760269045829773,0.3970596947320952,0.18126878430936524
21,compsva13,pear,balloon,0.5645098215550169,0.6151290535926819,0.4305073091965508,0.13830876666697448
22,compsva13,pear,book,0.23466526330039217,0.053406432271003716,0.011047320523785771,0.04149551727989389
23,compsva13,pear,table,0.22349331176925305,-0.00823370832949877,0.04517472166286988,0.04038604724683575
24,compsva14,box,book,0.5524778863738278,0.2624863088130951,0.3864064016267443,0.16776346253109106
25,compsva14,box,table,0.3040753767278586,0.9526160955429076,0.10948233805482248,0.1974885695932167
26,compsva14,book,box,0.23914214118025473,-0.00823370832949877,0.04631567141141075,0.04855226810436662
27,compsva14,book,table,0.28457622547021966,0.6964471340179443,0.11372777559389813,0.041141645513859265
28,compsva14,table,box,0.3046039112177574,0.1478055864572525,0.05318490310196978,0.062406220755491223
29,compsva14,table,book,0.3667153945757958,0.11814086139202118,0.052157889296182716,0.07831497003255525
30,compsva15,balloon,book,0.28699760631000815,-0.00823370832949877,0.04789748687201549,0.05709136871775364
31,compsva15,balloon,table,0.2683506172725783,0.018218625336885445,0.04972836150811564,0.044749722555961456
32,compsva15,balloon,pear,0.27939898637202565,-0.00823370832949877,0.047113906091811375,0.0521409994175136
33,compsva15,book,balloon,0.5514963336126599,0.6467195153236389,0.42164234738810025,0.15541359111223788
34,compsva15,book,table,0.1939664640207729,-0.016627434641122818,0.0391520294761334,0.04000695788150932
35,compsva15,book,pear,0.4718471982622666,1.0159363746643066,0.4740909948085472,0.1669490669252236
36,compsva15,table,balloon,0.5628901857656206,0.8990405797958374,0.4532769235267081,0.2024194672687325
37,compsva15,table,book,0.5527930238456619,0.581404447555542,0.3314264992578924,0.1628996168668731
38,compsva15,table,pear,0.5112392733473994,0.776028037071228,0.39705971374028426,0.18126879005828989
39,compsva15,pear,balloon,0.527477658219289,0.6366729140281677,0.4106003414530876,0.13836896477951682
40,compsva15,pear,book,0.23453363722562678,0.05269453674554825,0.011046737808730821,0.04149032326002637
41,compsva15,pear,table,0.22177070706622995,-0.00823370832949877,0.04474986829596349,0.040322911610064495
42,compsva23,balloon,box,0.2684582239711931,0.4986163079738617,0.013481852255259769,0.053275573907466
43,compsva23,balloon,book,0.2870169938512493,-0.00823370832949877,0.04789500335207362,0.057087100879625284
44,compsva23,balloon,table,0.26835062724901415,0.018211729824543,0.049728386848121975,0.044749653593007734
45,compsva23,box,balloon,0.5092495323693729,0.9323095679283142,0.7235018859912232,0.1583798013326481
46,compsva23,box,book,0.24537084153047387,-0.00823370832949877,0.013645377974153371,0.12001440391960533
47,compsva23,box,table,0.23047457029682988,-0.00823370832949877,0.047038961977003815,0.13467594233118368
48,compsva23,book,balloon,0.5516235304767738,0.6472426056861877,0.4217058318569224,0.15543547713558598
49,compsva23,book,box,0.4521051984427672,0.7833292484283447,0.6769489223523308,0.1145341214550175
50,compsva23,book,table,0.19326082630132968,-0.029480729252099987,0.0393985034475457,0.04055937244334959
