,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Partition Model
Average,0.06380661620016884,0.06876663977404325,0.07471747524056273,0.1031986058239059,0.06265661554769507,0.05409967909893262,0.06184439002504513
Overall,0.05856761374892789,0.06864645064416099,0.07556371530652464,0.08170842199011141,0.059402907018898096,0.04905569325287599,0.05709611185857753
