,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Partition Model
Our Prototype,0.0,3.156645629153102e-17,2.317849844658179e-11,1.948060120977004e-18,1.3418104491030163e-06,3.832258844435243e-07,0.00835899081472284
Exemplar,1.0,0.0,0.9485193418293383,2.335341653948903e-18,0.9918988088339953,0.9992332229485804,0.9999999790875659
Conceptual Space,0.9999999999768215,0.0514806581706617,0.0,1.947950229006717e-18,0.8139926900271104,0.9052228378326648,0.9999667791775702
Proximity,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Simple,0.9999986581895509,0.0081011911660047,0.18600730997288967,2.1976914755183606e-18,0.0,0.7754435351218198,0.9998604312193857
Best Guess,0.9999996167741155,0.0007667770514195673,0.09477716216733517,2.8484465157471657e-18,0.22455646487818015,0.0,0.9997907502874288
Partition Model,0.9916410091852772,2.091243406980178e-08,3.3220822429805035e-05,2.007625125507299e-18,0.00013956878061426639,0.00020924971257117657,0.0
