,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Partition Model
Our Prototype,0,92,73,100,68,70,54
Exemplar,3,0,35,99,36,35,25
Conceptual Space,21,56,0,100,46,46,32
Proximity,0,1,0,0,1,0,1
Simple,27,62,49,99,0,44,34
Best Guess,24,62,50,99,45,0,34
Partition Model,39,69,65,99,61,61,0
