,against-canon,against-far1
ground_lightsource,-0.011962276252557413,-0.3980299662270524
ground_container,0.49305867749937826,2.8133878808303314
support,0.1482648613583777,-1.566772409134042
ground_verticality,0.15441039623644842,-0.10006416549221786
size_ratio,-0.21541356848997595,-0.20163562047401515
shortest_distance,-0.6529120161832138,-0.5301656556924186
contact_proportion,0.6597283102181487,-0.9960988171048325
above_proportion,-0.9831588137871113,0.01810603253199536
below_proportion,-0.6890653512708276,-0.4598213739729405
bbox_overlap_proportion,1.3565612608503534,-0.6183161404435824
horizontal_distance,-0.2010707074699487,0.06438507164705581
f_covers_g,-0.6906710497496172,-0.5451312252215992
g_covers_f,-0.112759384456119,-1.7526151950496414
figure_lightsource,-0.1216673673887032,-0.12166736738870318
figure_container,0.4116307643360734,1.3167751179360492
location_control,1.0207007351456632,-0.9327076941998381
