,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,0.17354169163853916,-0.16131343559177816,-0.1975176010311474,-1.4482083231577292
ground_container,-0.7404814642423713,-0.6725018818811203,2.099924172634397,9.14442994791102
support,1.947223657889186,1.539843792580752,1.9816675922685705,-2.2248019302754143
ground_verticality,0.1145641883334057,-0.4923165417458728,-0.5919212880955969,-4.032816296378424
size_ratio,-0.21641351587758695,-0.19694101013939316,-0.21617938026546205,-0.1827700400829039
shortest_distance,-0.7292536389198548,-0.38652415284642133,-0.6318076383880726,2.3607896316700687
contact_proportion,1.3525372851736797,-0.5091307759480422,0.41259513659971697,-3.3732524236818318
above_proportion,1.5848444794169652,1.4534164861203047,1.0661228646864231,8.634370990560333
below_proportion,-0.9088984389722335,-0.8329618310722479,-0.9023466718221306,-3.5757877973635193
bbox_overlap_proportion,-0.38182656558530925,-0.4980506865462657,0.07096901928481203,-5.460857348427232
horizontal_distance,-0.22384851988646262,-0.7018005967523858,-0.8663015342535161,-2.3188827351219627
f_covers_g,-0.7181110563164578,0.9660513582739039,0.9107562418450998,6.62117578845441
g_covers_f,1.4787483844093365,0.12165960059889584,0.615216778299056,-0.6097621900854903
figure_lightsource,-0.12166736738870318,-0.12166736738870317,-0.1216673673887032,-0.12166736738870318
figure_container,-0.6084153593662114,1.4569450670121786,-0.8587140233358614,-5.176314337215081
location_control,1.2794481075392325,0.9629789423999078,1.3600262430158043,-3.257746025964777
