,over-canon,over-far1
ground_lightsource,-0.38176236530427965,-0.5126854964433615
ground_container,2.61784867900519,-1.0941835341603623
support,-0.6953928505634368,-0.09407981333889154
ground_verticality,-0.8032522488076587,-0.6423348446223887
size_ratio,-0.18553312352620355,-0.2018371069589019
shortest_distance,-0.20018580927298002,0.08976536401267454
contact_proportion,-0.22837065427167802,-0.15741654448164066
above_proportion,1.216045274012792,2.3069062542537573
below_proportion,-0.9743689118588519,-0.943947741370654
bbox_overlap_proportion,-0.21796859821461823,-1.043371316274754
horizontal_distance,0.06675573481303156,0.08212307152624529
f_covers_g,1.6771451849869043,-0.48777353432158005
g_covers_f,-0.529218630695008,1.2337849139630659
figure_lightsource,-0.1216673673887032,-0.1216673673887032
figure_container,-1.0694410997185437,-1.0083838835304288
location_control,-0.636224741849099,-0.2402808946440428
