,above-canon,above-far1
ground_lightsource,-0.3715631419016969,-0.30302681961408845
ground_container,2.4218707125248082,-0.811052600900592
support,-0.06691107731817322,0.44559068254240625
ground_verticality,-0.7568903789540541,-0.2693152199444591
size_ratio,-0.19187289256484735,-0.20890565241304326
shortest_distance,-0.28373966977324566,-0.04593203119983838
contact_proportion,-0.17463614018019802,0.061053548068166985
above_proportion,1.3810084619778717,1.799976202722139
below_proportion,-0.9997069716335472,-0.9130201773725818
bbox_overlap_proportion,-0.3697791010630531,-0.6502758394625237
horizontal_distance,0.33327694355415316,-0.05321578709303554
f_covers_g,1.1595211315038674,-0.5615333301447758
g_covers_f,-0.2527967376222465,1.1901974182898871
figure_lightsource,-0.1216673673887032,-0.12166736738870318
figure_container,-1.0395586975303164,-0.7236244291614431
location_control,-0.34961059927781074,0.23436682239188722
