,in-canon,in-far1
ground_lightsource,-0.1631194433177367,-1.683065248877059
ground_container,1.860987430318559,-2.5827346321326097
support,1.2299970057449239,7.538873497251202
ground_verticality,-0.4576181702179381,-3.184793247235711
size_ratio,-0.21352313227594513,-0.24905746583599717
shortest_distance,-0.6445792838387328,-2.5741791020975864
contact_proportion,2.3420151900081185,9.075836920447868
above_proportion,0.137641686048949,-4.251116935841655
below_proportion,-0.790546630485643,-2.421749364520636
bbox_overlap_proportion,2.3512184517729913,17.582822301086253
horizontal_distance,-0.9420918689789858,-2.4686587120352987
f_covers_g,0.21170434109025354,-1.3942438655271294
g_covers_f,1.1739127264046183,5.003985948659044
figure_lightsource,-0.12166736738870317,-0.12166736738870321
figure_container,-0.6759473466260009,7.772152220376234
location_control,1.5293504288014739,4.123726662233961
