,on-canon,on-near1,on-near2,on-far1
ground_lightsource,0.6746239442643447,-0.1701768161339723,-0.21016244427652636,0.4434653093927436
ground_container,-0.6462836075927927,-0.6805974169862847,2.1550671916158803,-0.01827669308049927
support,1.594703935623912,1.9848771453296772,1.8894238045080647,1.676276385549513
ground_verticality,0.463556788269608,-0.4876886128679872,-0.5737820576029955,0.19854948680879725
size_ratio,-0.21463149543035812,-0.20073132190025114,-0.2170719439223102,-0.21473871917683274
shortest_distance,-0.6440000289649483,-0.6853785467105239,-0.7046746002444142,-0.6609370246777191
contact_proportion,1.9150142556203984,-0.48755607491679576,0.4303197157538487,1.4951384297311463
above_proportion,0.7717183907326688,1.4654475426106361,0.5113130895220077,0.738533621921918
below_proportion,-0.8000429218143503,-0.8498479629245975,-0.905480128607349,-0.8277779598963304
bbox_overlap_proportion,0.6187668350217116,-0.48840891982266776,0.6011783484342148,0.5760009898752764
horizontal_distance,-0.30741181921481064,-0.8669859854073165,-0.9504267558384099,-0.4748342103662295
f_covers_g,-0.6755694878322853,1.2735749252654893,0.5235970224325269,-0.33919772097272705
g_covers_f,1.2437693347880798,0.2928292668134749,0.5517123654792966,1.055630821139819
figure_lightsource,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032,-0.1216673673887032
figure_container,-0.43796965808522886,1.8621959178284935,-0.8862872430901557,-0.4580496090126398
location_control,1.127237585346026,1.231861088289496,1.6064430870862543,1.2398354553208422
