,under-canon,under-near1,under-near2,under-far1
ground_lightsource,,,,
ground_container,,,,
support,-0.6282480394372745,-0.41451178548258105,0.27609188701237847,-0.624203243237655
ground_verticality,,,,
size_ratio,,,,
shortest_distance,-0.4050877994604904,0.02485008066115157,-0.6025738939872242,0.24543672326908897
contact_proportion,-0.44950312033121625,-0.294743901432058,1.9357143113936852,-0.08730345828092359
above_proportion,-0.9059561524155018,-0.9059561524155004,-0.9059561524155019,-0.905956152415502
below_proportion,-0.7484621051199398,-0.10701095117533602,-0.7484621051199398,1.0728433559656665
bbox_overlap_proportion,2.7961352171765568,1.8450438957065738,3.1695669218104805,0.23245587057178863
horizontal_distance,-0.1420254319781083,0.6166970630723031,-0.6624889573591203,-0.05198355362184745
f_covers_g,-0.36495731408407067,-0.568082097567474,-0.3682060722371392,0.9268442855365628
g_covers_f,0.6699474749714786,0.4299822641450192,0.8529693097259173,-0.17052435353859463
figure_lightsource,,,,
figure_container,,,,
location_control,-0.8033437704613876,-0.113374794529915,0.37264590361651245,-0.5506210497542098
