,on-canon,on-near1,on-near2,on-far1
ground_lightsource,,,,
ground_container,,,,
support,1.2803159746658903,1.6673528789023193,1.1542285025864933,
ground_verticality,,,,
size_ratio,,,,
shortest_distance,-0.5313093070822852,-0.5757424920788261,-0.5316795484894998,
contact_proportion,1.4402130868559466,-0.4207498153592313,0.5651010373999068,
above_proportion,0.6208676021148727,1.1932723629513322,0.034101640196440214,
below_proportion,-0.7251742269839188,-0.7484621051199398,-0.7233355855119206,
bbox_overlap_proportion,0.5083951181188751,-0.3309911818874455,1.0337264330612637,
horizontal_distance,-0.21137726967505382,-0.6948978150135443,-0.7301435120831418,
f_covers_g,-0.6466129412922509,1.057837162572541,0.13334587901681214,
g_covers_f,1.0183828010672706,0.2426333855342543,0.47886351301425306,
figure_lightsource,,,,
figure_container,,,,
location_control,0.9334318796141875,1.1528571806122536,1.2163507218939216,
