,below-canon,below-near1,below-near2,below-far1
ground_lightsource,,,,
ground_container,,,,
support,-0.6282480394372745,-0.471501939222598,0.2760862226958302,-0.514852550706851
ground_verticality,,,,
size_ratio,,,,
shortest_distance,0.551001110347938,0.2828597132889831,-0.602573893987224,0.36724616878282174
contact_proportion,-0.44950312033121614,-0.33601302647183323,1.1406416009307978,-0.17785337379349672
above_proportion,-0.9059561524155019,-0.9059561524155001,-0.9059561524155018,-0.9059561524155012
below_proportion,-0.7484621051199398,-0.08080906225797296,-0.7484621051199398,1.0676853731633638
bbox_overlap_proportion,1.2195458342843757,1.261451969958332,3.1695669218104805,0.22212403421346685
horizontal_distance,0.530669085852955,0.9591056065758424,-0.5985728743697829,0.12960653268736924
f_covers_g,-0.6195061915856998,-0.6495608211470522,-0.3682060722371392,0.5122724136211988
g_covers_f,-0.10275146282803671,0.08365021801203207,0.8529693097259172,-0.27799711010882305
figure_lightsource,,,,
figure_container,,,,
location_control,-0.8035448826069396,-0.03307153745537428,0.07901952837517426,-0.5142691333098423
