,Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control,selection_ratio,selected_atleast_once
31,compsvi23,box,table,-0.12166736738870315,-0.5968659206925575,1.6837178985981087,-0.3832424471159501,-0.21340174395333456,-0.602573893987224,0.5281090668036933,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.5755016478825381,-0.7585597404982047,1.5240177774945138,-0.1216673673887032,1.672698320953217,1.7276338450685491,1.0,1
32,compsvi23,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338541592297,-0.3959606841730068,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538744700466174,0.18000227069296404,-0.6805640705117451,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8041443245591213,1.0,1
55,compsvo12,box,table,-0.12166736738870315,-0.5968659206925575,1.6837178985981087,-0.3832424471159501,-0.2133464718653104,-0.5722090519676662,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,-0.5659859716616487,-0.6337310526830842,1.5240177774945138,-0.1216673673887032,1.672698320953217,1.843259548953181,1.0,1
60,compsvo13v,jar,board,-0.12166736738870315,-0.5968659206925575,-0.6280494694686262,2.6050784063451293,-0.2133890014849716,-0.602573893987224,0.19152406007195266,-0.9059561524155018,-0.2949090192236393,0.3939670891066752,-0.4663594502354701,-0.8225399352243266,-0.5073597448159186,-0.1216673673887032,1.672698320953217,-0.6255244724672451,0.14285714285714285,1
72,compsvo17,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542565102406,-0.4550671241202423,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538751554580004,0.29110542608847384,-0.6806143202205664,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052941218451248,1.0,1
78,compsvo23v,jar,board,-0.12166736738870315,-0.5968659206925575,-0.628056044630395,2.6050784063451293,-0.2133890014849716,-0.602573893987224,0.19152406007195266,-0.9059561524155018,-0.2949090192236393,0.3939670891066752,-0.4663594502354701,-0.8225399352243266,-0.5073597448159186,-0.1216673673887032,1.672698320953217,-0.6583605446647098,0.5,1
86,compsvo27,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542855095466,-0.4550472319974732,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.2910789997537533,-0.6806290938759659,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.805294103915682,1.0,1
92,compsvo34v,jar,board,-0.12166736738870315,-0.5968659206925575,-0.6280652498614951,2.6050784063451293,-0.2133890014849716,-0.602573893987224,0.19152406007195266,-0.9059561524155018,-0.2949090192236393,0.3939670891066752,-0.4663594502354701,-0.8225399352243266,-0.5073597448159186,-0.1216673673887032,1.672698320953217,-0.6597817510348788,0.5,1
95,compsvo67,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542313235925,-0.4550842331035958,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.2911278599553587,-0.6806011613040118,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052943342743921,1.0,1
99,compsvo68a,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.2133825804609458,-0.4451655343739631,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,-0.3511002975479657,1.2628951014611882,-0.8738683120799481,-0.8725312556314122,-0.1216673673887032,1.672698320953217,0.9456960696021272,0.3333333333333333,1
102,compsvo78,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338259552672076,-0.5321416879105415,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,-0.2996010320439984,1.294975531106766,-0.8722506581978969,-0.8472408610340056,-0.1216673673887032,1.672698320953217,0.8564393928173526,0.2,1
103,compsvo78,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21334658537853013,-0.28299185415744577,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,2.7113395479302667,0.1626348454911555,-0.6914783795695294,0.631395939594045,-0.1216673673887032,1.672698320953217,0.8255726433597153,0.8,1
104,compsvo79,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338259552672076,0.1917027482299301,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,-0.3570435486078057,1.809321359999985,-0.8740550690873288,-0.875450400627552,-0.1216673673887032,1.672698320953217,0.9526864201954924,0.14285714285714285,1
105,compsvo79,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21334658537853013,-0.28299185415744577,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,2.7113395479302667,0.1626348454911555,-0.6914783795695294,0.631395939594045,-0.1216673673887032,1.672698320953217,0.8229064018625094,1.0,1
112,compsvu17,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542565102406,-0.4551055314441747,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538752044159563,0.4244137369972852,-0.6806143202205664,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052967507147453,1.0,1
113,compsvu17,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282477029472784,-0.3832424471159501,-0.21338547578169687,-0.4557078028136679,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,0.519055645661,2.0624343148929536,-0.8394853179673688,-0.44606724978033296,-0.1216673673887032,1.672698320953217,-0.8052857293092092,0.5,1
114,compsvu23,box,book,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.20450927436087465,-0.602573893987224,-0.3288714325206148,-0.9059561524155018,1.2235485077078494,-0.32415837700788863,1.1242766182136863,1.2303914090875443,0.7681593871297393,-0.1216673673887032,1.672698320953217,-0.5447078918004704,1.0,1
119,compsvu25a,box,balloon,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,2.6050784063451293,-0.2131067288835476,3.3558794372986758,-0.4495031203312162,-0.9059561524155018,1.6343840719040237,-0.3570435486078057,3.390036335995516,-0.8740550690873288,-0.875450400627552,-0.1216673673887032,1.672698320953217,-0.8051969391475471,0.16666666666666666,1
123,compsvu53,box,book,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.205471680452754,0.8277587935675916,-0.4495031203312162,-0.9059561524155018,1.6343840719040237,-0.3570435486078057,1.1296360309890143,0.5199981406610299,0.5912981869226291,-0.1216673673887032,1.672698320953217,-0.8052968096737295,0.42857142857142855,1
125,compsvu56,box,balloon,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,2.6050784063451293,-0.2131067288835476,2.2531623947367083,-0.4495031203312162,-0.9059561524155018,1.6343840719040237,-0.3570435486078057,1.2489461793141217,0.13675698730068556,0.9594879407700188,-0.1216673673887032,1.672698320953217,-0.8052035324521594,0.6,1
