,Baseline Model,Neural Net Classification,KMeans Model,Distinct Prototype,Supervised Distinct Model
Baseline Model,0.0,0.9952482398799859,0.19366682079238295,0.602556317299107,0.9999995562034052
Neural Net Classification,0.0047517601200140775,0.0,0.00013918152588162963,0.005124756879684748,0.798224211883795
KMeans Model,0.806333179207617,0.9998608184741183,0.0,0.9413847808678574,0.9999999997784228
Distinct Prototype,0.39744368270089303,0.9948752431203153,0.05861521913214266,0.0,0.9999898617656001
Supervised Distinct Model,4.4379659477489906e-07,0.20177578811620506,2.2157714983321725e-10,1.0138234399880599e-05,0.0
