,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,,,,
ground_container,,,,
support,1.5670333533999279,1.324864350144401,0.8245004957627955,0.6617680603605323
ground_verticality,,,,
size_ratio,,,,
shortest_distance,-0.6025731726099386,-0.3100278205975115,-0.6025657523779416,-0.4430387707836446
contact_proportion,2.3871051856610626,0.18876801403148746,2.528374120792221,0.12349050508109141
above_proportion,1.2542982212227518,1.2741113941634647,-0.4649345068491206,0.16922107630083588
below_proportion,-0.7484621051199398,-0.7484621051199398,-0.7484621051199398,-0.7212980715757907
bbox_overlap_proportion,-0.17202891194479145,-0.30075349365916426,2.423340394351807,0.5402508515829136
horizontal_distance,-0.2698778930016136,-0.13460005088432503,-0.7436289472633383,-0.31199072232542907
f_covers_g,-0.6410067194711347,-0.3323254997773845,-0.42301755386053913,0.14482233530765187
g_covers_f,1.499464859441653,0.8824296245401329,1.0015378407644502,0.17986491117549455
figure_lightsource,,,,
figure_container,,,,
location_control,0.9585758503285903,0.8279530404826531,1.0182152843671228,1.023772476419211
