,0
ground_lightsource,-0.12166736738870317
ground_container,1.6726983209532167
support,0.996140577273183
ground_verticality,-0.3832424471159501
size_ratio,-0.21281572810720192
shortest_distance,-0.6025738939872242
contact_proportion,2.834437660280933
above_proportion,-0.008498509706612034
below_proportion,-0.7484621051199398
bbox_overlap_proportion,2.6258707883865644
horizontal_distance,-0.8618751043361744
f_covers_g,0.06932685884862407
g_covers_f,1.3202666972024608
figure_lightsource,-0.1216673673887032
figure_container,-0.5968659206925575
location_control,1.4576373107122176
