,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Neural Net Classification
Our Prototype,0.0,2.413339144257252e-32,5.435333467764015e-20,8.222156476289433e-35,3.100012493148962e-08,6.451084672552292e-10,0.9903676386456725
Exemplar,1.0,0.0,0.9999999994054544,5.49263076185273e-34,0.9999995801613345,0.9999999715856323,1.0
Conceptual Space,1.0,5.945456658585675e-10,0.0,7.512566288085137e-35,0.8568976152872879,0.8830424623564873,0.9999999999999973
Proximity,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Simple,0.9999999689998751,4.1983866554463123e-07,0.14310238471271208,8.998923944420101e-35,0.0,0.6923829463956219,0.9999999999175198
Best Guess,0.9999999993548915,2.8414367765326167e-08,0.11695753764351269,7.289590196838931e-35,0.3076170536043781,0.0,0.9999999999936107
Neural Net Classification,0.009632361354327547,1.4116726738997094e-26,2.6572886064907405e-15,1.4172550677024898e-34,8.24802832424131e-11,6.389294095478117e-12,0.0
