,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess,Neural Net Classification
Our Prototype,0,186,155,197,129,125,79
Exemplar,12,0,60,192,71,63,20
Conceptual Space,33,131,0,199,96,99,48
Proximity,3,8,1,0,4,1,3
Simple,69,124,102,196,0,93,60
Best Guess,69,133,97,199,95,0,58
Neural Net Classification,114,179,148,196,138,140,0
