,location_control:in,location_control:inside,location_control:against,location_control:on,location_control:on top of,location_control:under,location_control:below,location_control:over,location_control:above,location_control:Average,location_control:Overall,support:in,support:inside,support:against,support:on,support:on top of,support:under,support:below,support:over,support:above,support:Average,support:Overall
p_value,1.906602285223816e-13,4.671331455979727e-06,2.85659057779982e-12,0.013924820603089076,0.0015227713223300182,1.368628325109599e-06,0.0010353926636023259,0.3180105508856603,0.05990740461367426,8.647865978988906e-22,1.2522894299476802e-20,0.8197856067293509,0.9999999988064276,0.9999999913789696,8.76350524363093e-31,5.69353447757891e-28,0.04963879188373926,0.08783770364699067,5.966323171786309e-12,0.996783028804264,3.2069652135641714e-16,3.6482013807025365e-25
With feature wins,99.0,64.0,111.0,44.0,40.0,84.0,40.0,31.0,38.0,160.0,156.0,34.0,8.0,16.0,181.0,159.0,72.0,25.0,121.0,60.0,153.0,169.0
Without feature wins,19.0,24.0,45.0,31.0,34.0,37.0,31.0,31.0,29.0,39.0,34.0,60.0,56.0,74.0,8.0,2.0,54.0,16.0,52.0,87.0,47.0,28.0
