,Our Prototype
in,0.815433055141999
inside,0.8643492742926147
against,0.8764759413425266
on,0.8526030208784158
on top of,0.9316113917903823
under,0.7331299917341912
below,0.867382133862713
over,0.7455619301917135
above,0.8605970935870484
Average,0.838571536980178
Overall,0.8409055859760457
