,location_control,support,None removed
in,0.7740375496816921,0.8161594176818542,0.8101077541010535
inside,0.8171296606344812,0.859929770338616,0.8406487369448543
against,0.8454320652590668,0.8800954257199473,0.8692488591751902
on,0.9099312915824327,0.8536116398579184,0.9137231901946116
on top of,0.9688182331193298,0.9320280524985456,0.9730382434280316
under,0.7212888800601591,0.7310896239654049,0.7345574624607996
below,0.8469893754190463,0.8526403500020886,0.8547541209235952
over,0.7912760246350158,0.743858737427386,0.7924163864047769
above,0.8337422455220618,0.849509686383265,0.8376584084427264
Average,0.8342939251014766,0.8354358559861145,0.8473503513417383
Overall,0.8437161462723324,0.8373954504514619,0.8545042465782221
