,Our Prototype
in,0.8101077541010535
inside,0.8406487369448543
against,0.8692488591751902
on,0.9137231901946116
on top of,0.9730382434280316
under,0.7345574624607996
below,0.8547541209235952
over,0.7924163864047769
above,0.8376584084427264
Average,0.8473503513417383
Overall,0.8545042465782221
