,Our Prototype
in,0.7855694341790017
inside,0.8271140474738178
against,0.8355810546187716
on,0.9139920919018236
on top of,0.9707876323946989
under,0.7209223140567002
below,0.8614044540927519
over,0.7837098047421307
above,0.8419211663653086
Average,0.8378891110916679
Overall,0.84657619050027
