,under-canon,under-near1,under-near2,under-far1
ground_lightsource,-0.2849508059757212,-0.12810612153917064,-0.2405104222821474,1.2179636963614913
ground_container,-1.1605485428006586,-0.6190936117189852,-1.0071326653261417,-0.8730701660863621
support,-1.4262389014846024,-0.09917515793973364,-1.2095463265783635,-0.9839566585739095
ground_verticality,4.284788167114102,-0.395565419707542,2.7631868080222577,0.4030259725032787
size_ratio,-0.2151207282588141,-0.21344392537931636,-0.15292612315226267,-0.15981255681842718
shortest_distance,2.56236175348473,-0.5147220552008861,1.7893922256342938,-0.47911579314471175
contact_proportion,-1.1928934617141835,-0.1796890042767869,-0.9905670513259697,-0.3705819825395562
above_proportion,-1.6666645307235972,-0.9359531580549707,-1.4596247200516033,-1.27870293465538
below_proportion,3.107707948289624,-0.6814744981427328,2.7067176277888327,0.288456014952284
bbox_overlap_proportion,-0.8529972050070759,4.6253242889832125,-0.7180149252649171,1.0491126647112425
horizontal_distance,0.30110774996616796,0.05007817518849776,0.7007361355002175,0.12368508924130359
f_covers_g,0.5770552791344633,-0.6387382250769269,1.4545752867013737,0.4074092465546689
g_covers_f,1.8244273548736232,1.5534280626580896,-1.0607739156357314,-0.0660455233279893
figure_lightsource,-0.1216673673887032,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032
figure_container,0.9977625497448344,1.5416719317448009,0.17428543004636252,1.042918479399332
location_control,-1.8032066217198077,0.031139940687569423,-1.531598353515511,-0.5713528141868957
