,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
ground_lightsource,0.023868850524488727,0.023868850524488727,0.023868850524488727,-0.012071742296986154,0.023868850524488727,0.023868850524488727,0.21044008836467998,0.023868850524488727
ground_container,0.5748417970664367,0.5748417970664367,0.5748417970664367,0.7957682959538921,0.5748417970664367,0.5748417970664367,-0.14956373790646238,0.5748417970664367
support,0.11922383559688615,0.11922383559688615,0.11922383559688615,0.29712298913214996,0.11922383559688615,0.11922383559688615,-0.48753913027402995,0.11922383559688615
ground_verticality,0.14486622276673486,0.14486622276673486,0.14486622276673486,-0.2321343606287271,0.14486622276673486,0.14486622276673486,1.429083665404716,0.14486622276673486
size_ratio,-0.21553199535678638,-0.21553199535678638,-0.21553199535678638,-0.21594765593615656,-0.21553199535678638,-0.21553199535678638,-0.2146219352362866,-0.21553199535678638
shortest_distance,-0.6692748288505173,-0.6692748288505173,-0.6692748288505173,-0.6584192909557781,-0.6692748288505173,-0.6692748288505173,-0.7250685342942356,-0.6692748288505173
contact_proportion,0.6551143334209255,0.6551143334209255,0.6551143334209255,0.8029916350840848,0.6551143334209255,0.6551143334209255,0.18647220121649727,0.6551143334209255
above_proportion,-0.9698853493698024,-0.9698853493698024,-0.9698853493698024,-0.9818884903796843,-0.9698853493698024,-0.9698853493698024,-0.9490631726389342,-0.9698853493698024
below_proportion,-0.7041528999183428,-0.7041528999183428,-0.7041528999183428,-0.7635166132404141,-0.7041528999183428,-0.7041528999183428,-0.517415705460534,-0.7041528999183428
bbox_overlap_proportion,1.3521320319656964,1.3521320319656964,1.3521320319656964,1.450112519562202,1.3521320319656964,1.3521320319656964,1.078382399370647,1.3521320319656964
horizontal_distance,-0.20953018920363498,-0.20953018920363498,-0.20953018920363498,-0.13548963249952398,-0.20953018920363498,-0.20953018920363498,-0.46199056521765064,-0.20953018920363498
f_covers_g,-0.6920924615452281,-0.6920924615452281,-0.6920924615452281,-0.7143386862496425,-0.6920924615452281,-0.6920924615452281,-0.6317260685973436,-0.6920924615452281
g_covers_f,-0.14600969365463617,-0.14600969365463617,-0.14600969365463617,-0.08081536482934015,-0.14600969365463617,-0.14600969365463617,-0.3658136369276605,-0.14600969365463617
figure_lightsource,-0.1216673673887032,-0.1216673673887032,-0.1216673673887032,-0.12166736738870318,-0.1216673673887032,-0.1216673673887032,-0.12166736738870318,-0.1216673673887032
figure_container,0.4274712504458335,0.4274712504458335,0.4274712504458335,0.2433601108200266,0.4274712504458335,0.4274712504458335,1.037295578908751,0.4274712504458335
location_control,0.9974624357013252,0.9974624357013252,0.9974624357013252,1.4554798213233466,0.9974624357013252,0.9974624357013252,-0.5578182204467064,0.9974624357013252
