,in-canon,in-near1,in-near2,in-far1
ground_lightsource,-0.17149152629396341,-0.17149152629396341,-0.14762307243162598,-0.22572339662034474
ground_container,1.8401678298833064,1.8401678298833064,1.7905977620776696,1.9524775496590148
support,1.2642431212405332,1.2642431212405332,1.3163585874101245,1.1499398412042943
ground_verticality,-0.47263984793301106,-0.47263984793301106,-0.42981368119586233,-0.5699458206809936
size_ratio,-0.2137177852466075,-0.2137177852466075,-0.21296968798112526,-0.21541061353963714
shortest_distance,-0.6550196121820583,-0.6550196121820583,-0.6349287494328114,-0.7008170747134979
contact_proportion,2.373227045310433,2.373227045310433,2.5054482741516346,2.074361356337399
above_proportion,0.11382227795194572,0.11382227795194572,0.3865424146149494,-0.4992177578111696
below_proportion,-0.799480280830416,-0.799480280830416,-0.7762777894320552,-0.8522289285658105
bbox_overlap_proportion,2.430471409288516,2.430471409288516,2.1483236405483104,3.0657496090709144
horizontal_distance,-0.9510321705448808,-0.9510321705448808,-0.8687502174553794,-1.136724584603372
f_covers_g,0.2036297093405302,0.2036297093405302,0.4313874926359836,-0.30695785142836074
g_covers_f,1.1926514697060806,1.1926514697060806,1.0904938773632056,1.4213857688012914
figure_lightsource,-0.1216673673887032,-0.1216673673887032,-0.1216673673887032,-0.1216673673887032
figure_container,-0.6330710513970135,-0.6330710513970135,-0.6463836859648296,-0.6025040444036556
location_control,1.5430839170007737,1.5430839170007737,1.6757536589056357,1.2462853503219815
