,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,-0.1833552655151148,-0.18147903498069612,9.051405046682799,4.985861939142756
ground_container,-0.7145528359395887,0.1519018197376943,0.9306364491391512,2.852095855604278
support,1.9257701106763894,1.8750219538216273,3.3249533677615433,2.910910196734096
ground_verticality,-0.55295793071186,-0.07099954720357604,1.2876523241428057,1.5709851004081212
size_ratio,-0.2158146346331311,-0.21360047492968082,-0.2405556822653634,-0.24376105136221798
shortest_distance,-0.7342621913542657,-0.6105305991765188,-2.0489013820191007,-1.2554785534044068
contact_proportion,2.724818328624525,0.23452159515859428,7.955493092321765,-0.25597538333568126
above_proportion,1.6450279735040825,1.5180771685251209,-0.12576137369952822,-1.5902342189159464
below_proportion,-0.8799407289157641,-0.8759418212518391,-2.192510068749902,-2.1785386770859207
bbox_overlap_proportion,-0.4110021096962,-0.47605866051143764,5.816830578549184,3.319384174071341
horizontal_distance,-0.2774279579527321,-0.3821516549948111,-3.106391741290791,-2.0665193227740484
f_covers_g,-0.71937903611814,0.04945122729120888,-0.7571059470013926,-1.145327049857463
g_covers_f,1.7102677829948383,0.9482954519023343,3.341045947447691,0.27608538269072574
figure_lightsource,-0.12166736738870318,-0.12166736738870318,-0.12166736738870318,-0.1216673673887032
figure_container,-0.809823195901471,-0.3520589164068324,-2.2486138930013015,-3.1921592847883495
location_control,1.129657585648058,1.2663149570876833,2.861887730201191,2.282355486525499
