,in-canon,in-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.0018869249950123224,0.01146612368841439
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.09118518836042261,0.0002222950240489234
contact_proportion,0.0348464056914116,5.514944010729674e-05
above_proportion,0.05982430144920306,0.003373691419293671
below_proportion,0.007087497790012364,0.00020859710217711143
bbox_overlap_proportion,0.08417455687062195,0.0060755993901120894
horizontal_distance,0.05651374122008708,0.00189977980311921
f_covers_g,0.11299684724118522,0.0003315451944649552
g_covers_f,0.031869043013653404,0.003513154317306796
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.10677220623727532,0.0034625925798538867
