,below-canon,below-near1,below-near2,below-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.004794772012470608,0.006788860888247801,0.00040895330590713034,0.02097742483049322
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.010921441051979407,0.07090219437223066,0.011856948358149239,0.06474383901698386
contact_proportion,0.023750067694482412,0.06820107889334716,0.004095778984995206,0.010877170501662058
above_proportion,0.034800215200913164,0.040670155803620614,0.002024270865339426,0.13750491207418655
below_proportion,0.03695135711542551,0.2488587580111763,0.0010592702509155112,0.20876552901768292
bbox_overlap_proportion,0.027276240121968914,0.0829434122629531,0.008346302431611814,0.04666624130281054
horizontal_distance,0.03996426764230274,0.06629054949280422,0.0019901019682130607,0.017213638105010347
f_covers_g,0.005237462445837868,0.06897482632156751,0.002360178695221469,0.1078436831325647
g_covers_f,0.0403834513710442,0.028912229768690404,0.002363108167488411,0.14575881371541535
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.03157874793351795,0.057094121421092325,0.006606752678540958,0.010785599811969637
