,above-canon,above-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.05453349086174233,0.17023432726086965
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.004737260759023611,0.04775571689652515
contact_proportion,0.023125780104172745,0.007825461650126216
above_proportion,0.2398807762022264,0.3083816445281803
below_proportion,0.08241759009848644,0.0598356374518174
bbox_overlap_proportion,0.0630975994052364,0.020455678163348312
horizontal_distance,0.03517950779536204,0.013760364723156997
f_covers_g,0.07209855699423492,0.002446089707880437
g_covers_f,0.1188368398878037,0.03449101564362603
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.0764671434257081,0.031247981589748258
