,on-canon,on-near1,on-near2,on-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.28957147398544647,0.17697867869870118,0.24641078396800903,0.3178464215646549
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.10067613324445569,0.01431789696580835,0.023286485913569556,0.05079514513055191
contact_proportion,0.09270917467538194,0.017891606008678118,0.019551170112243478,0.07148191063523479
above_proportion,0.02570255014870184,0.036426894680682775,0.046918024563668594,0.03399786502975377
below_proportion,0.020552871661475985,0.004704748448342903,0.05822211406011851,0.03953135957346318
bbox_overlap_proportion,0.05520685786084676,0.020910635529772896,0.07227319664711393,0.07103306294835204
horizontal_distance,0.04529776721456891,0.007758384481279859,0.021943918105954335,0.02114585792593594
f_covers_g,0.06865811288064819,0.021044828795221567,0.046271669999696244,0.027179270917883178
g_covers_f,0.06816907632102559,0.002214299421689996,0.03890838218450628,0.0412902126656688
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.11962529134761171,0.013179314102744859,0.05138302739500784,0.08040949167452835
