,against-canon,against-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.022767510451439956,0.026941222549045192
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.06094196838859817,0.03162322629982635
contact_proportion,0.030115397373248448,0.00016108749734412842
above_proportion,0.24390402275481332,0.03981274154894207
below_proportion,0.10247133971047327,0.009481224782431913
bbox_overlap_proportion,0.030855390217376263,0.011023937990525104
horizontal_distance,0.08365846714430858,0.009019725401366266
f_covers_g,0.09493006621523113,0.03225353942818199
g_covers_f,0.0876253433384368,0.061489875012073855
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.09955017248404635,0.00611645079599603
