,inside-canon,inside-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.0038991641778364653,0.023020995688392196
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.0737120033271266,0.002726646000628991
contact_proportion,0.026296823131496616,0.02242535282123716
above_proportion,0.050803857028696775,0.0025640600915913265
below_proportion,0.004493219445510794,0.01656633711488025
bbox_overlap_proportion,0.0836483042504845,0.0332800371051306
horizontal_distance,0.028235834150377274,0.005368220277765096
f_covers_g,0.11748646271932243,0.0038176607683735107
g_covers_f,0.03690153081352424,0.006192894576017586
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.09973890554250602,0.019382617169624018
