,over-canon,over-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.0954885323218696,0.10808463651501263
ground_verticality,0.0,0.0
size_ratio,0.0,0.0
shortest_distance,0.025648234026343066,0.0011858689330024597
contact_proportion,0.021831702908122624,0.01672322080158279
above_proportion,0.1890327189801185,0.16520674973435576
below_proportion,0.063723548311171,0.007481992675524356
bbox_overlap_proportion,0.0655033346284297,0.006159933223318096
horizontal_distance,0.007182483400226923,0.005185082875485261
f_covers_g,0.08470352679613492,0.006424712024769266
g_covers_f,0.12425022967631803,0.03204004900663734
figure_lightsource,0.0,0.0
figure_container,0.0,0.0
location_control,0.018867074810723167,0.023145376037815107
