,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.15515083964248758,0.13285028141736138,0.18691172636032846,0.012982335281324094
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.10183216731788143,0.011567148548086485,0.0012794639323970916,0.01860989413689012
contact_proportion,0.03175103114403755,0.03249906753537634,0.006763301709038539,0.0004018181380182097
above_proportion,0.12079216850946851,0.12075027797862785,0.0764821735578114,0.024831310326214755
below_proportion,0.044319586413342986,0.024842265090500117,0.0513277634580281,0.01595081524252
bbox_overlap_proportion,0.04936392174859666,0.007074287161794394,0.05356990985182344,0.006822066994099806
horizontal_distance,0.04947893274591758,0.008366079398050421,0.006358391463591899,0.009811997015048226
f_covers_g,0.05733251603139618,0.027910345449357162,0.06001890913462776,0.017876495991465183
g_covers_f,0.04837209274692138,0.013825798365756495,0.01568155368469979,0.013796349328206177
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.05577107749680804,0.027131340412276994,0.01826290594023161,0.002427069374706191
