,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
Baseline Model,0,32,26,36
Neural Net Classification,63,0,39,50
Supervised Distinct Model,63,49,0,56
OSF Sense Model,50,40,35,0
