,Baseline Model,Neural Net Classification,KMeans Model,Distinct Prototype,Supervised Distinct Model,Sense Model (OS)
Baseline Model,0.0,0.5810197094619023,0.01309541705468291,0.06539080279105282,0.999949828740441,0.9269071604245549
Neural Net Classification,0.4189802905380977,0.0,0.006129862760078645,0.0326345314613333,0.9984148173348688,0.8272501115440127
KMeans Model,0.9869045829453171,0.9938701372399213,0.0,0.5514045007650821,0.9999999996596355,0.9979538074876829
Distinct Prototype,0.9346091972089472,0.9673654685386667,0.4485954992349179,0.0,0.999999904161367,0.9975728548215931
Supervised Distinct Model,5.017125955894844e-05,0.0015851826651311475,3.403645094141625e-10,9.583863308314701e-08,0.0,0.01958570164306273
Sense Model (OS),0.07309283957544514,0.17274988845598727,0.0020461925123171198,0.002427145178406948,0.9804142983569373,0.0
