,Baseline Model,Neural Net Classification,Supervised Distinct Model,OSF Sense Model
in,0.8293567821067821,0.8466805555555554,0.7841259018759019,0.9162261904761904
inside,0.9202521645021646,0.8626796536796536,0.8985313852813853,0.9252218614718615
against,0.8817144790063587,0.9016323257944099,0.8461568977118509,0.886084377224083
on,0.9288643642238168,0.9458116271984993,0.9317670468002103,0.9344401217801506
on top of,0.9741116542985737,0.968360945083468,0.9896892700952297,0.9718043927177052
under,0.7575643681821833,0.9223233421523059,0.9154251561879437,0.8341375107707384
below,0.8758082824225473,0.8950810028371441,0.9183159388658778,0.8334729651396597
over,0.8159620730576611,0.7741388782785841,0.8632443463399345,0.821111978707567
above,0.8635848157690262,0.8496436093146619,0.8814934473421312,0.8576806957662219
Average,0.8719132203965683,0.8851502155438089,0.8920832656111632,0.8866866771171309
Overall,0.8770389220025723,0.8983432682764344,0.9030764881054003,0.884691243096976
