,Prep1,Prep2,Values
0,in,in,1.0
1,in,inside,0.7857142857142857
2,in,on,0.09230769230769231
3,in,on top of,0.06349206349206349
4,in,above,0.03571428571428571
5,in,over,0.05
6,in,below,0.01694915254237288
7,in,under,0.0
8,in,against,0.09090909090909091
9,inside,in,0.7857142857142857
10,inside,inside,1.0
11,inside,on,0.08823529411764706
12,inside,on top of,0.06060606060606061
13,inside,above,0.03389830508474576
14,inside,over,0.046511627906976744
15,inside,below,0.06779661016949153
16,inside,under,0.0625
17,inside,against,0.125
18,on,in,0.09230769230769231
19,on,inside,0.08823529411764706
20,on,on,1.0
21,on,on top of,0.7313432835820896
22,on,above,0.38961038961038963
23,on,over,0.19736842105263158
24,on,below,0.02830188679245283
25,on,under,0.043010752688172046
26,on,against,0.2823529411764706
27,on top of,in,0.06349206349206349
28,on top of,inside,0.06060606060606061
29,on top of,on,0.7313432835820896
30,on top of,on top of,1.0
31,on top of,above,0.5373134328358209
32,on top of,over,0.3181818181818182
33,on top of,below,0.009615384615384616
34,on top of,under,0.02197802197802198
35,on top of,against,0.16666666666666666
36,above,in,0.03571428571428571
37,above,inside,0.03389830508474576
38,above,on,0.38961038961038963
39,above,on top of,0.5373134328358209
40,above,above,1.0
41,above,over,0.56
42,above,below,0.02127659574468085
43,above,under,0.024390243902439025
44,above,against,0.12941176470588237
45,over,in,0.05
46,over,inside,0.046511627906976744
47,over,on,0.19736842105263158
48,over,on top of,0.3181818181818182
49,over,above,0.56
50,over,over,1.0
51,over,below,0.03896103896103896
52,over,under,0.046153846153846156
53,over,against,0.1267605633802817
54,below,in,0.01694915254237288
55,below,inside,0.06779661016949153
56,below,on,0.02830188679245283
57,below,on top of,0.009615384615384616
58,below,above,0.02127659574468085
59,below,over,0.03896103896103896
60,below,below,1.0
61,below,under,0.6862745098039216
62,below,against,0.20987654320987653
63,under,in,0.0
64,under,inside,0.0625
65,under,on,0.043010752688172046
66,under,on top of,0.02197802197802198
67,under,above,0.024390243902439025
68,under,over,0.046153846153846156
69,under,below,0.6862745098039216
70,under,under,1.0
71,under,against,0.1780821917808219
72,against,in,0.09090909090909091
73,against,inside,0.125
74,against,on,0.2823529411764706
75,against,on top of,0.16666666666666666
76,against,above,0.12941176470588237
77,against,over,0.1267605633802817
78,against,below,0.20987654320987653
79,against,under,0.1780821917808219
80,against,against,1.0
