,Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control,selection_ratio,selected_atleast_once
31,compsvi23,box,table,-0.12166736738870315,-0.5968659206925575,1.6837178985981087,-0.3832424471159501,-0.21340174395333456,-0.602573893987224,0.5281090668036933,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.5755016478825381,-0.7585597404982047,1.5240177774945138,-0.1216673673887032,1.672698320953217,1.7276338450685491,1.0,1
32,compsvi23,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338541592297,-0.3959606841730068,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538744700466174,0.18000227069296404,-0.6805640705117451,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8041443245591213,1.0,1
41,compsvi26a,pencil,lamp,8.205788000549202,-0.5968659206925575,0.2760862226958302,2.6050784063451293,-0.2134053423859445,-0.602573893987224,1.1406416009307978,-0.9059561524155018,-0.7484621051199398,3.1695669218104805,-0.5985728743697829,-0.3682060722371392,0.8529693097259172,-0.1216673673887032,-0.5968659206925575,0.07901952837517426,0.09090909090909093,1
54,compsvinew1,pencil,plate,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21320186613268613,-0.602573893987224,2.147733420984951,-0.9059561524155018,-0.2069062207830257,1.9205446960698396,-0.5700082879471263,-0.5315528127537077,0.3217618473782746,-0.1216673673887032,-0.5968659206925575,0.24096050291216475,0.6666666666666666,1
55,compsvo12,box,table,-0.12166736738870315,-0.5968659206925575,1.6837178985981087,-0.3832424471159501,-0.2133464718653104,-0.5722090519676662,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,-0.5659859716616487,-0.6337310526830842,1.5240177774945138,-0.1216673673887032,1.672698320953217,1.843259548953181,1.0,1
72,compsvo17,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542565102406,-0.4550671241202423,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538751554580004,0.29110542608847384,-0.6806143202205664,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052941218451248,1.0,1
86,compsvo27,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542855095466,-0.4550472319974732,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.2910789997537533,-0.6806290938759659,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.805294103915682,1.0,1
95,compsvo67,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542313235925,-0.4550842331035958,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,4.538752044159563,0.2911278599553587,-0.6806011613040118,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052943342743921,1.0,1
103,compsvo78,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21334658537853013,-0.28299185415744577,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,2.7113395479302667,0.1626348454911555,-0.6914783795695294,0.631395939594045,-0.1216673673887032,1.672698320953217,0.8255726433597153,0.8,1
105,compsvo79,box (1),table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21334658537853013,-0.28299185415744577,-0.4495031203312162,-0.9059561524155018,-0.6046696576512788,2.7113395479302667,0.1626348454911555,-0.6914783795695294,0.631395939594045,-0.1216673673887032,1.672698320953217,0.8229064018625094,1.0,1
112,compsvu17,box,table,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21338542565102406,-0.4551055314441747,-0.4495031203312162,-0.9059561524155018,-0.6252114358610876,4.538752044159563,0.4244137369972852,-0.6806143202205664,1.5240177774945138,-0.1216673673887032,1.672698320953217,-0.8052967507147453,1.0,1
114,compsvu23,box,book,-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.20450927436087465,-0.602573893987224,-0.3288714325206148,-0.9059561524155018,1.2235485077078494,-0.32415837700788863,1.1242766182136863,1.2303914090875443,0.7681593871297393,-0.1216673673887032,1.672698320953217,-0.5447078918004704,1.0,1
117,compsvu25,cube,book,-0.12166736738870315,-0.5968659206925575,-0.5805254558093608,-0.3832424471159501,-0.21314715333844866,-0.602573893987224,1.2996562829561276,-0.9059561524155018,-0.4506063329919444,4.376559231966772,-0.7977300219470825,-0.013499523313515656,1.5115069504137852,-0.1216673673887032,-0.5968659206925575,1.200524979353787,0.6666666666666666,1
121,compsvu34,picture,book (1),-0.12166736738870315,-0.5968659206925575,-0.6282480394372745,-0.3832424471159501,-0.21157335395370144,-0.1586613994582855,-0.4495031203312162,-0.9059561524155018,0.20467636568964565,-0.2950282120864859,-0.8626692603721413,1.536002907966404,0.1959200591489382,-0.1216673673887032,-0.5968659206925575,-0.8048276390157506,1.0,1
134,compsvul,bowl,lamp,8.205788000549202,-0.5968659206925575,-0.6282480394372745,2.6050784063451293,-0.21337009408764934,-0.4050877994604904,-0.4495031203312162,-0.9059561524155018,-0.7484621051199398,2.7961352171765568,-0.1420254319781083,-0.36495731408407067,0.6699474749714786,-0.1216673673887032,1.672698320953217,-0.8033437704613876,1.0,1
135,compsvula,pencil,lamp,8.205788000549202,-0.5968659206925575,0.27609755132892666,2.6050784063451293,-0.2134053423859445,-0.602573893987224,2.7307870218565733,-0.9059561524155018,-0.7484621051199398,3.1695669218104805,-0.7264050403484579,-0.3682060722371392,0.8529693097259172,-0.1216673673887032,-0.5968659206925575,0.6662722788578508,0.25,1
138,compsvinew2,box,shelf,-0.12166736738870315,-0.5968659206925575,-0.5505560193460927,-0.3832424471159501,-0.213405154652987,-0.602573893987224,-0.06612572070475049,-0.9059561524155018,-0.7125562113299159,4.4561506704979505,-0.5405991995185099,-0.6731115205310411,1.5240177774945138,-0.1216673673887032,1.672698320953217,0.07144747403429258,1.0,1
