,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,,,,
ground_container,,,,
support,1.5799983028663924,1.1822863501393268,0.8245004957627955,0.498573687050108
ground_verticality,,,,
size_ratio,,,,
shortest_distance,-0.6025732527629704,-0.35084142217855835,-0.6025657523779416,-0.3198145856523952
contact_proportion,2.269432158223892,0.12594930833189846,2.528374120792221,0.2183577045786554
above_proportion,1.2574359896880927,1.1720036546762087,-0.4649345068491206,-0.9059561524155019
below_proportion,-0.7484621051199398,-0.7484621051199402,-0.7484621051199398,-0.6778356179051522
bbox_overlap_proportion,-0.19057576806652585,-0.25405027600112434,2.423340394351807,1.5759153485718138
horizontal_distance,-0.1388732413149102,-0.19580502495991214,-0.7436289472633383,-0.38837477752981087
f_covers_g,-0.6543605143180635,-0.10483830087475911,-0.42301755386053913,-0.5528810064309211
g_covers_f,1.3960704559388752,0.7411904191621939,1.0015378407644502,0.07889084568675428
figure_lightsource,,,,
figure_container,,,,
location_control,0.9836885891743324,0.9077089299542076,1.0182152843671228,0.7234160336196102
