,in-canon,in-near1,in-near2,in-far1
ground_lightsource,,,,
ground_container,,,,
support,,,1.2812884375514022,1.1181611379297114
ground_verticality,,,,
size_ratio,,,,
shortest_distance,,,-0.602150937458299,-0.5604957790837413
contact_proportion,,,2.227272363477502,1.222088479856204
above_proportion,,,0.4090245055893307,-0.6152855797210411
below_proportion,,,-0.7484621051199398,-0.7376309874332014
bbox_overlap_proportion,,,1.920364938774992,2.586436542028908
horizontal_distance,,,-0.7989062872568441,-0.7708081660736623
f_covers_g,,,0.44378596177874924,-0.37000257765439454
g_covers_f,,,0.9847969312458059,0.9475858107767164
figure_lightsource,,,,
figure_container,,,,
location_control,,,1.5938042963046992,1.0025901379160238
