,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.10847345678057477,0.17334271627174194,0.025483417512745663,0.1018869010919003
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.06734124270019995,0.06339922752157798,0.0012092743548511803,0.01270335587165283
contact_proportion,0.023453372309748005,0.01214298253502008,0.01417416875305564,0.02266928010208181
above_proportion,0.06359011559651608,0.132019534930665,0.011658895708024352,0.059445230842762486
below_proportion,0.04033558345116002,0.047578778570303085,0.010867784398491818,0.0156220608120423
bbox_overlap_proportion,0.06914681483237856,0.033519747114578446,0.012258566120271302,0.02609966910117596
horizontal_distance,0.04078044021212616,0.042345069766539734,0.001737275353506263,0.009044973007686613
f_covers_g,0.06661310225559335,0.016654098192041503,0.0048080209530630335,0.029527082839349236
g_covers_f,0.10109835335198428,0.025882520944229416,0.020364109667618403,0.0177856464513769
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.04057341884101574,0.016971417094712685,0.013194665194329302,0.02667917868386445
