,under-canon,under-near1,under-near2,under-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.016002587704806847,0.01354216837975783,0.02497689818739806,0.06566342100161834
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.008332760276367233,0.06601689627346369,0.004887967933127653,0.12030513162761511
contact_proportion,0.0006539969481176144,0.08494233075030302,0.012491433100755034,0.039253786001899146
above_proportion,0.049270017728867674,0.06570687159844486,0.0771218280505784,0.12331460252461397
below_proportion,0.031239433151274733,0.04714285215178428,0.11704525001575108,0.08994917517868745
bbox_overlap_proportion,0.031004218237768225,0.16195541094153493,0.0591607123700266,0.0025013339925657376
horizontal_distance,0.0005439564556253083,0.06786078878524077,0.011789745748628235,0.06842500811525809
f_covers_g,0.03687544529414772,0.040453220063993954,0.09715355698037964,0.1100337801290152
g_covers_f,0.06310282295624427,0.047128590131222246,0.07835896143873011,0.18565120057681778
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,9.074055364282144e-05,0.031110078518683963,0.006758601018222173,0.05097830959137799
