,below-canon,below-near1,below-near2,below-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.01098949078349695,0.017272952465138814,0.013203098637584915,0.004045741275090261
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.04351153267903842,0.0039014724043412155,0.005242788281509439,0.10027188159251696
contact_proportion,0.0022112291302375936,0.004651096114587643,0.007761916443411364,0.054346789460800654
above_proportion,0.06415720951756397,0.09342065989836623,0.045109791720093315,0.04501640917581567
below_proportion,0.15650307090551785,0.09259953625525597,0.28685969476996354,0.11831588140926745
bbox_overlap_proportion,0.03580319519542639,0.03929221255510823,0.03260006745386867,0.06595353834832555
horizontal_distance,0.01640889144737458,0.018196087380397057,0.007415834792132186,0.09227423682505945
f_covers_g,0.053718303701491346,0.08004513081650365,0.0689422466702351,0.009168156431986669
g_covers_f,0.08028009371144258,0.0984316487919549,0.058358009852541574,0.05435758193923628
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.013209364884201533,0.005417326439067641,0.00535826520693633,0.05914707640692024
