,above-canon,above-near1,above-near2,above-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.002490507566045189,0.014022095153861632,0.15372161769765685,0.003652590355206954
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.009455498818776102,0.0024962206000795203,0.019630170773744404,0.0042972124602219195
contact_proportion,0.01109267306042357,0.003266297447776647,0.006083728629234043,0.010169260383486275
above_proportion,0.04107199095315142,0.015294267560387563,0.3064356077014377,0.01643946362171357
below_proportion,0.0036907967740439206,0.0020160881872905334,0.04993351133828207,0.011611741045048663
bbox_overlap_proportion,0.02446734077424515,0.002365219843726434,0.024546604962410276,0.010134899333083753
horizontal_distance,0.01723349028558794,0.0040406007850486625,0.00610293975058266,0.007921067563099064
f_covers_g,0.02777868440662746,0.002586689840103338,0.008488854427990473,0.00036650534516219254
g_covers_f,0.057525011272964006,0.0033720345992349636,0.004647921334748936,0.01518612134581799
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.0031073080274423587,0.0008525889552890441,0.03434020251289471,0.01720943640669994
