,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.01636114674735201,0.05143242743824709,0.0,0.00990563036069533,0.0,0.022141813990438734,0.0,0.015024735007601438
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.032219475647682246,0.04968182710648006,0.0,0.005324159064589606,0.0,0.03389281700799936,0.0,0.051050944869739615
contact_proportion,0.03671563357250599,0.045957165948395044,0.0,0.04237383911781845,0.0,0.05428272200571034,0.0,0.01441497974607082
above_proportion,0.03968257768265272,0.13198668597010169,0.0,0.017491488074844328,0.0,0.14799265106182224,0.0,0.04455602787938571
below_proportion,0.02664694828142482,0.06784620313061696,0.0,0.010883084438106483,0.0,0.09953498853153302,0.0,0.02817595640154552
bbox_overlap_proportion,0.0031117470705863447,0.0048784196754965556,0.0,0.004187131241956321,0.0,0.04170140042840981,0.0,0.014368116142065296
horizontal_distance,0.03506945299773685,0.07730664414918613,0.0,0.010012181042311894,0.0,0.004371374334539413,0.0,0.008791742411032649
f_covers_g,0.0033093259806795533,0.019186613214057593,0.0,0.005776525757582893,0.0,0.0181882217410629,0.0,0.05335227113307466
g_covers_f,0.018941343498413622,0.029199867839302972,0.0,0.019938477068480932,0.0,0.015760229950205998,0.0,0.04254249878124255
figure_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_control,0.04134599915530401,0.07554239378707689,0.0,0.01852370904811729,0.0,0.10222458808833018,0.0,0.06025895767612834
