,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
ground_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support,0.19681142353693215,0.24968418945863796,0.05056185654173787,0.17630804796462077,0.04334292471860257,0.17861764314024262,0.05610672727160202,0.137186508044332
ground_verticality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shortest_distance,0.07781644266805471,0.08843025747330058,0.030265770016528738,0.036987038102660755,0.02014496624454372,0.013668028474437207,0.0004570918700903034,0.01277477641053921
contact_proportion,0.07391268492327427,0.029810775973096348,0.031661109070393545,0.09379478098667977,0.005378917837543746,0.02474596748055042,0.05877055249846928,0.001671899496155694
above_proportion,0.025953482937056866,0.06532752173715134,0.015038386233148394,0.029098720574553538,0.018483741793508954,0.016644894584848493,0.028171673828663302,0.056974438896664474
below_proportion,0.02831641227123481,0.045746605437368415,0.014746109707286724,0.010092622112160578,0.020445089306986332,0.02317191791907355,0.0250949674496704,0.06321587650253979
bbox_overlap_proportion,0.06985981856920101,0.053410455608539145,0.030690218922330363,0.03529471113881869,0.017346853480213142,0.03823748505566861,0.005897769478525472,0.022637126599399836
horizontal_distance,0.054842485304745996,0.05809766167301873,0.020337774715394615,0.032345450444731944,0.015506580608700672,0.015276525878718748,0.00023794557372329157,0.028526540001200397
f_covers_g,0.07049228012076242,0.05514419861974379,0.027972104201061256,0.04180244881578963,0.019664238291571344,0.017767737684616272,0.0021863713342978016,0.0073829384208494294
g_covers_f,0.07695344441026625,0.04738285636546811,0.04050644328418743,0.023287449138801472,0.03270498296940988,0.026227846957440657,0.001147476448720413,0.0021083191474698506
figure_lightsource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
location_control,0.08840317027520625,0.06444669861304317,0.023725501479532122,0.0934670582544476,0.00691383801373361,0.02254272088656025,0.03900970570231292,0.03593093522124515
