,Our Prototype,Exemplar,Conceptual Space,Proximity,Simple,Best Guess
Our Prototype,0,191,197,200,158,150
Exemplar,8,0,87,200,41,36
Conceptual Space,3,106,0,200,54,50
Proximity,0,0,0,0,0,0
Simple,40,157,145,200,0,85
Best Guess,49,163,149,200,108,0
